Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Traditional Gyro Meat,4.7,"Delicious gyros made with homemade gyro meat. This is the closest I've come to emulating my favorite Mediterranean restaurant's recipe. The Greek/Lebanese-style meatloaf is sliced and served with pita bread, tzatziki, and tomatoes. The preparation time seems long, but most of it is resting time, so you can be doing other things!",15 mins,1 hr,2 hrs 15 mins,10,"½ medium onion, cut into chunks | 1 pound ground lamb | 1 pound 80/20 ground beef | 1 tablespoon minced garlic | 1 teaspoon dried oregano | 1 teaspoon ground cumin | 1 teaspoon dried marjoram | 1 teaspoon ground dried rosemary | 1 teaspoon ground dried thyme | 1 teaspoon ground black pepper | 1½ teaspoons fine sea salt | cooking spray",,15.0,60.0,135.0,60.0,E,Long Wait,Wait time > 30 min,"- Place the onion in a food processor, and process until finely chopped. Scoop the onions onto the center of a towel, gather up the ends of the towel, and squeeze out the liquid from the onions. Place the onions into a mixing bowl along with the lamb and beef. Season with the garlic, oregano, cumin, marjoram, rosemary, thyme, black pepper, and salt. Mix well with your hands until well combined. Cover, and refrigerate 1 to 2 hours to allow the flavors to blend.
- Preheat oven to 325 degrees F (165 degrees C).
- Place the meat mixture into the food processor, and pulse for about a minute until finely chopped and the mixture feels tacky. Pack the meat mixture into a 7x4 inch loaf pan, making sure there are no air pockets. Line a roasting pan with a damp kitchen towel. Place the loaf pan on the towel, inside the roasting pan, and place into the preheated oven. Fill the roasting pan with boiling water to reach halfway up the sides of the loaf pan.
- Bake until the gyro meat is no longer pink in the center, and the internal temperature registers 165 degrees F (75 degrees C) on a meat thermometer, 45 minutes to 1 hour. Pour off any accumulated fat, and allow to cool slightly before slicing thinly and serving."
Shredded Beef Tostadas,5.0,"Tostadas are delicious stacks of toppings on crispy, flat, corn tortillas. Spread a layer of refried beans, then a layer of delicious shredded beef, and add other layers of lettuce, cheese, chopped tomatoes and your favorite salsa or other toppings, and enjoy! This recipe is customizable for your family's tastes!",20 mins,2 hrs 20 mins,2 hrs 40 mins,6,"2 teaspoons chipotle chili powder, or to taste | 1 teaspoon smoked paprika | 1 teaspoon dried Mexican oregano | 1 teaspoon garlic powder | 1 teaspoon onion powder | ½ teaspoon ground coriander | ½ teaspoon ground cumin | ½ teaspoon salt, or to taste | ½ teaspoon ground black pepper, or to taste | 1 (2 pound) boneless beef chuck roast | 1 tablespoon extra-virgin olive oil | ½ cup chopped onion | 1 ½ teaspoons minced fresh garlic | 1 cup beef stock | 1 ½ cups chopped tomatoes, divided | 1 medium orange, juiced | ½ medium lime, juiced | 6 crispy tostada shells | 2 cups refried beans, warmed | 2 cups shredded lettuce | 1 ½ cups shredded Cheddar cheese | 3 tablespoons salsa, or to taste | 3 tablespoons sour cream, or to taste | 3 tablespoons guacamole, or to taste | ¼ cup chopped fresh cilantro | 6 wedges lime",https://www.allrecipes.com/thmb/IuDqRme0hAuoRFY3zM0GhuGh238=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9232952-3bd3224eaec6420690bb62d7a9b22bee.jpg,20.0,140.0,160.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",
Detroit Hot Honey Wings,4.7,"These Detroit-inspired hot honey wings are packed with bold, finger-licking, sweet-spicy flavors. They'll be a hit at your next barbecue or game-day gathering.",15 mins,20 mins,35 mins,6,"2 pounds chicken wings, tips discarded | 1 teaspoon cayenne pepper, more to taste | salt and ground black pepper to taste | 1 cup honey, divided | ½ cup unsalted butter, melted | ½ cup hot sauce",,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat an outdoor grill for medium heat and lightly oil grate.
- Wash the wings well and pat dry with paper towel. Season the meat with cayenne, salt, and pepper.
- Cook the chicken wings on preheated grill until cooked through and juices run clear, 20 to 30 minutes depending on the size of the wings. Brush the wings liberally using 1/2 cup of honey while they are cooking.
- Melt the butter, pour into a large bowl and mix in the remaining 1/2 cup of honey and hot sauce. Remove the wings from the grill and immediately toss them in the hot honey butter sauce to coat. Serve the wings 'wet' or return them to the grill for 1 minute per side to set the sauce."
Pumpkin Gut Chocolate Chip Muffins,4.7,Moist and dense delicious muffins are a great use for pumpkin guts.,20 mins,20 mins,40 mins,12,"1 tablespoon clarified butter (ghee) | 1 ¾ cups pumpkin guts | 1 ½ cups brown sugar | ½ cup butter, cubed and at room temperature | 3 eggs | 4 cups all-purpose flour, divided | 2 tablespoons baking powder | 1 teaspoon ground cinnamon | ½ teaspoon ground nutmeg | ½ teaspoon salt | 2 cups miniature semisweet chocolate chips",https://www.allrecipes.com/thmb/oPiO4TKEwhOPBGFsc6BUDyS7BTk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1082720-pumpkin-gut-chocolate-chip-muffins-slyorkie-4x3-1-6d515131c3cf4df6b5e5927f94df6c28.jpg,20.0,20.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin with ghee.
- Separate the seeds from the stringy pumpkin guts. Place guts into a blender or food processor; pulse until pureed.
- Mix brown sugar and butter together in a bowl until combined. Add pumpkin puree and eggs; whisk until well blended.
- Sift 3 cups flour, baking powder, cinnamon, nutmeg, and salt together in a bowl. Add flour mixture to pumpkin mixture and stir until absorbed. Add as much of the remaining 1 cup flour as needed to create a batter that is moist but thick enough to stand a spoon in. Stir in chocolate chips.
- Divide batter evenly between the 12 muffin cups.
- Bake in the preheated oven until a toothpick poked into the center comes out clean, 20 to 25 minutes."
Simply the Easiest Beef Brisket,4.8,An easy brisket recipe as the name suggests — and simply the best! This cut of beef is slow cooked in a delicious homemade sweet and spicy sauce until tender. I like to make this the day before for a great flavor. Simply reheat slowly to serve.,10 mins,4 hrs,4 hrs 10 mins,6,"1 (3 pound) beef brisket, trimmed of fat | salt and pepper to taste | 1 medium onion, thinly sliced | 1 (12 fluid ounce) can beer | 1 (12 ounce) bottle tomato-based chili sauce | ¾ cup packed brown sugar",,10.0,240.0,250.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Preheat the oven to 325 degrees F (165 degrees C).
- Season the brisket on all sides with salt and pepper, and place in a glass baking dish. Cover with a layer of sliced onions. In a medium bowl, mix together the beer, chili sauce, and brown sugar. Pour over the roast. Cover the dish tightly with aluminum foil.
- Bake for 3 hours in the preheated oven. Remove the aluminum foil, and bake for an additional 30 minutes. Let the brisket rest and cool slightly before slicing and returning to the dish. Reheat in the oven with the sauce spooned over the sliced meat."
Crispy Tuna Croquettes,,"Tuna, panko, and fresh herbs are used to create delicious Spanish tapas-inspired bite-size croquettes with garlic aioli for dipping. Garnish with sprigs of parsley.",30 mins,11 mins,3 hrs 41 mins,8,"1 egg yolk, at room temperature | 3 large cloves garlic, minced | 1 tablespoon lemon juice | 5 tablespoons extra-virgin olive oil | 5 tablespoons canola oil | salt and ground black pepper to taste | 1 pinch Spanish paprika | ¼ cup butter | ¼ cup all-purpose flour | ¾ cup milk | 1 (5 ounce) can solid white albacore tuna in water (such as Bumble Bee®) | 1 tablespoon chopped fresh flat-leaf parsley | 1 tablespoon chopped fresh chives | 1 tablespoon chopped fresh dill | ½ teaspoon lemon juice | ½ teaspoon lemon zest | 1 dash ground nutmeg | salt and ground black pepper to taste | 2 eggs | 2 cups panko bread crumbs | vegetable oil for frying",https://www.allrecipes.com/thmb/yxaAQxmPWMyFVsRjB2FEvaCW134=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3796350-debd040c43174228863d4cd3bcf0167f.jpg,30.0,11.0,221.0,180.0,E,Long Wait,Wait time > 30 min,"- Mix all ingredients except oil.
- Mix well, and form into four patties.
- Heat oil in skillet and fry patties, turning to brown on both sides.
- Transfer to paper towels and drain well.
- For an appetizer, form into 16 smaller mini-patties."
Zucchini Carrot Cake,4.8,This zucchini carrot cake is very moist and tasty. The pineapple and walnut cream cheese frosting makes it very special!,35 mins,30 mins,1 hr 35 mins,16,"1 cup all-purpose flour | 1 cup whole wheat flour | 1 cup white sugar | 2 teaspoons ground cinnamon | 1 teaspoon salt | 1 teaspoon baking soda | 1 ½ cups vegetable oil | 1 cup grated carrot | 1 cup grated zucchini | 4 large eggs | ½ cup honey | 1 (16 ounce) package confectioners' sugar | 1 cup crushed pineapple, well drained | 1 (8 ounce) package cream cheese, softened | ½ cup chopped walnuts | ¼ cup unsalted butter, softened | 2 teaspoons vanilla extract",https://www.allrecipes.com/thmb/soxLOZE_mk64gbmjt1n47MFNEdg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8287636-364fc98a1c43499f9ea1c7a4e997a459.jpg,35.0,30.0,95.0,30.0,D,Short Wait,Wait time 1-30 min,"- Beat together eggs and sugar.
- Add oil and beat well.
- Add sifted dry ingredients and beat with electric mixer for 3 minutes at high speed.
- Stir in carrots, zucchini and nuts.
- Pour into a lightly greased 9-inch pan and bake at 350° for 35 minutes."
Gyoza Sauce,4.5,Gyoza sauce is a slightly-spicy Japanese dipping sauce for potstickers or spring rolls.,5 mins,,20 mins,16,"½ cup rice vinegar | ½ cup low-sodium soy sauce | ⅓ cup thinly sliced green onions | 1 garlic clove, minced | 1 teaspoon sesame oil | ½ teaspoon crushed red pepper flakes | ½ teaspoon minced fresh ginger root",,5.0,,20.0,15.0,,,,"- Whisk together the rice vinegar, soy sauce, red pepper flakes, garlic, ginger, green onions, and sesame oil in a bowl; allow to sit 15 minutes before serving. Store in refrigerator up to 1 week."
Marry Me Chicken,4.8,"Marry me chicken is sautéed chicken in a creamy sun-dried tomato sauce. You can serve it with pasta as suggested or on its own. They say the way to someone's heart is through their stomach, and this is worthy of a marriage proposal!",15 mins,20 mins,35 mins,6,"1 ½ pounds skinless, boneless chicken breast halves | 2 tablespoons butter | 3 cloves garlic, minced | ½ teaspoon dried oregano | ¼ teaspoon ground thyme | ½ cup chicken broth, divided | ½ pound bacon | 1 (16 ounce) package angel hair pasta | 1 tablespoon all-purpose flour | ½ cup freshly shaved Parmesan cheese | ¼ cup whipping cream | ¼ cup chopped sun-dried tomatoes | 1 pinch red pepper flakes | salt to taste",,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",- Stir into a casserole dish or crockpot (in order as listed). Bake at 350* for 1 hour or in a crockpot for 5-8 hours. Debone and serve over rice.
Best Fruit Dip,4.8,"This fruit dip is really light an fluffy. Easy to make in 5 minutes and perfect for serving with your favorite fruit at parties, holidays, or any time!",5 mins,,5 mins,12,"1 (8 ounce) package cream cheese, softened | 1 (7 ounce) jar marshmallow creme",,5.0,,5.0,0.0,,,,"- Combine all in blender except fruit.
- Chill for 1 hour.
- Serve in dish with fruit."
Panini Sandwiches,4.4,Turkey and Swiss cheese panini with sundried tomato mayonnaise made with dinner rolls are quick and delicious!,10 mins,10 mins,20 mins,4,"4 Sister Schubert's Dinner Yeast Rolls, split | 4 slices roast turkey or ham | 4 slices Swiss, Monterey Jack, or Gruyere cheese | 8 small slices red onion | 1 cup fresh spinach leaves or several fresh basil leaves (Optional) | Salt and freshly ground black pepper | Butter | ¼ cup mayonnaise | 2 finely chopped sundried tomatoes | Salt and freshly ground black pepper",https://www.allrecipes.com/thmb/RIoiiLP3S-aXAnVODAHiy3t9BPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Panini-Sandwiches-4x3-1-2000-0e4f4d4dda5e4fb795168e7d3af1b8b2.jpg,10.0,10.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat grill pan or panini machine to medium heat.
- Spread center of each roll with 1 tablespoon mayonnaise. Assemble sandwiches with remaining ingredients, except butter. Season with salt and pepper.
- Spread small amount of butter on top and bottom of each roll; place sandwich either in pan on onto panini machine and grill. Cook 5 to 7 minutes.
- (If using a pan, press sandwich down with a pan lid. Cook sandwiches about 3 to 4 minutes on each side or until bread is toasted.)
- For mayonnaise: whisk all ingredients together in small bowl. Refrigerate until ready to use."
Split Pea Soup,4.7,"This flavorsome split pea soup is a great way to use a leftover ham bone. It makes a nourishing, hearty meal on a blustery fall or winter day.",15 mins,2 hrs,3 hrs 15 mins,6,"2 ¼ cups dried split peas, rinsed well | 2 quarts cold water, plus more as needed | 1 (1 ½ pound) ham bone | 2 onions, thinly sliced | ½ teaspoon salt | ¼ teaspoon ground black pepper | 1 pinch dried marjoram | 3 stalks celery, chopped | 3 carrots, chopped | 1 potato, diced",,15.0,120.0,195.0,60.0,E,Long Wait,Wait time > 30 min,"- Rinse
- split
- peas
- and
- add to the gallon of water the salt, the
- pepper,
- the
- onions
- and the beef base.
- Let boil until peas are
- done.
- Mix the flour and the cooking oil to a smooth texture and
- add
- gradually
- to
- the soup mixture until there is a smooth texture, not too thick.
- Let cook over a low fire for 10 to 15 minutes, stirring constantly."
Dutch Oven Beef Stew,4.8,"This hearty Dutch oven beef stew loaded with vegetables is so simple — sear the beef, add the remaining ingredients, and simmer until tender.",30 mins,2 hrs 35 mins,3 hrs 5 mins,8,"½ cup all-purpose flour | 1 tablespoon ground paprika, or more to taste | salt and ground black pepper to taste | 2 pounds cubed beef stew meat | 2 tablespoons extra-virgin olive oil | 4 cups beef broth | 2 large potatoes, cubed | 1 (8 ounce) package mushrooms, quartered | 3 medium carrots, sliced, or more to taste | 1 medium onion, chopped | 1 stalk celery, chopped | 1 ½ tablespoons Worcestershire sauce | 2 cloves garlic, minced | 2 bay leaves",https://www.allrecipes.com/thmb/99RWFfb-JPy17hupCZQaXSordyg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9021511-f0edbfb7b7604fedb5012e4e8e268b67.jpg,30.0,155.0,185.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Some notes about the ingredients: I like the tomatoes with seasoning, choose your favorite. Cheap red wine works just fine. Baby carrots work, too - just guesstimate how many would add up to 6 big ones.
- The trick with peeling pearl onions: cut off the stem ends, throw in boiling water for 1.5 minutes, drain and rinse with cold water (or even dunk in ice water). You should be able to squeeze the onion and pop them right out of the peel.
- Real instructions start now:
- Throw the flour, salt and pepper into a bowl or bag with the beef cubes and coat completely.
- In the dutch oven (or heavy pot) combine the butter and oil, and saute the beef and onions over medium-high heat until beef is browned on outside.
- Stir in the tomatoes, water and bouillon cubes. Add parsley and thyme. Stir in the red wine.
- Cover soup and simmer for 1 hour, stirring occasionally.
- Add bay leaves, carrots and potatoes. Continue to simmer until potatoes are tender, about 1 1/2 hours."
Vegan Brown Gravy,4.7,"Super simple vegan gravy recipe I use for poutine, savory pies, and mashed potatoes. You can add any herbs or seasonings of your choice. Leftovers can be stored in an airtight container in the refrigerator or freezer.",5 mins,20 mins,25 mins,8,¼ cup all-purpose flour | ¼ cup vegetable oil | 1 teaspoon garlic powder | 3 cups vegetable broth | ¼ cup soy sauce | 2 tablespoons nutritional yeast (Optional) | 1 teaspoon onion powder | 1 pinch ground black pepper,https://www.allrecipes.com/thmb/0ukq7vQqjrxQ5wfoObIf74Xq-V0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6978650-866049943a834b08aed3e7ddfdb142c4.jpg,5.0,20.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Brown flour in a dry skillet.
- Place cashews into blender container, and then add just a small amount of the 4 cups of water.
- Blend and add water as needed until the cashews are smooth, then add any water that was left over.
- If you put the cashews and all of the water into the blender at first, the cashews won't blend up smooth.
- To blended cashews, add the rest of the ingredients.
- Put mixture in a saucepan and bring to a boil, stirring constantly."
